iter	RMSE
0	75276.04791
1	73474.95982
2	71581.90098
3	69634.23311
4	68006.86281
5	66239.60555
6	64855.75598
7	63351.84069
8	62033.57209
9	60768.529
10	59356.17681
11	58051.48353
12	56762.58049
13	55520.69597
14	54294.64698
15	53108.95168
16	52073.6721
17	51038.59149
18	50025.56043
19	49039.78832
20	48104.7669
21	47159.90028
22	46245.1477
23	45395.99412
24	44669.25338
25	43876.73161
26	43192.12788
27	42452.40686
28	41789.1302
29	41113.85868
30	40475.99932
31	39882.36749
32	39261.60848
33	38649.41092
34	38047.80122
35	37500.82842
36	36992.44163
37	36496.15837
38	36015.4295
39	35541.15879
40	35122.02821
41	34642.80832
42	34226.89656
43	33775.14864
44	33380.94586
45	33025.73896
46	32642.80555
47	32215.41177
48	31876.02642
49	31493.87652
50	31125.76697
51	30767.41235
52	30430.91089
53	30173.0132
54	29890.94934
55	29571.80089
56	29265.12755
57	28964.86152
58	28684.24215
59	28404.00896
60	28154.66367
61	27911.57545
62	27673.32644
63	27424.84237
64	27209.15881
65	26982.56794
66	26756.57332
67	26532.63534
68	26322.35167
69	26142.61972
70	25979.10741
71	25813.37934
72	25633.99077
73	25477.91349
74	25321.71518
75	25145.53636
76	24997.00123
77	24854.63258
78	24679.53233
79	24545.37668
80	24389.26018
81	24246.87324
82	24117.53601
83	23998.8417
84	23867.97999
85	23744.51962
86	23638.66666
87	23499.58329
88	23368.33138
89	23219.7543
90	23094.1128
91	22966.58231
92	22843.93226
93	22712.52124
94	22604.75363
95	22491.82676
96	22411.21158
97	22284.42767
98	22158.75287
99	22070.15482
100	21988.18443
101	21885.55503
102	21802.19743
103	21733.56148
104	21649.60663
105	21587.51384
106	21520.23563
107	21424.03025
108	21326.50025
109	21211.23556
110	21172.28692
111	21095.73998
112	21024.06673
113	20972.8521
114	20936.91221
115	20849.33126
116	20757.40676
117	20687.5996
118	20609.88416
119	20554.41225
120	20501.16788
121	20428.23293
122	20411.64249
123	20328.30847
124	20313.43138
125	20262.79133
126	20187.56384
127	20174.81704
128	20118.74629
129	20077.44878
130	20044.90618
131	19984.31878
132	19924.68783
133	19869.01539
134	19808.15343
135	19743.27907
136	19656.91845
137	19612.78378
138	19526.42644
139	19460.44347
140	19406.29858
141	19309.96792
142	19263.21387
143	19214.69698
144	19132.9857
145	19106.22247
146	19068.41649
147	19016.60472
148	18933.13542
149	18878.5538
150	18818.35362
151	18776.38135
152	18717.45325
153	18676.34324
154	18657.63248
155	18597.37116
156	18552.9804
157	18503.10305
158	18440.23555
159	18415.40075
160	18375.25775
161	18352.1584
162	18284.75757
163	18213.54098
164	18153.44921
165	18121.47422
166	18078.68639
167	18028.28064
168	17983.45904
169	17938.98866
170	17872.81294
171	17855.87052
172	17835.81531
173	17767.90766
174	17725.72508
175	17687.53066
176	17637.71731
177	17599.94389
178	17540.7316
179	17489.79535
180	17470.20753
181	17430.45696
182	17404.5078
183	17340.6431
184	17322.23707
