iter	Passed	Remaining
0	126	126741
1	132	66065
2	138	46057
3	143	35842
4	149	29722
5	155	25735
6	161	22891
7	167	20773
8	173	19083
9	179	17722
10	184	16576
11	190	15660
12	196	14891
13	201	14221
14	208	13684
15	215	13231
16	220	12777
17	227	12385
18	239	12364
19	244	11986
20	250	11667
21	255	11373
22	261	11109
23	267	10867
24	272	10644
25	278	10434
26	284	10235
27	289	10062
28	295	9907
29	301	9761
30	308	9637
31	314	9505
32	320	9396
33	326	9285
34	333	9197
35	339	9094
36	345	8982
37	350	8874
38	356	8781
39	362	8699
40	368	8612
41	374	8543
42	380	8471
43	386	8399
44	392	8331
45	398	8268
46	404	8208
47	412	8177
48	419	8133
49	426	8097
50	432	8044
51	437	7984
52	443	7930
53	449	7881
54	456	7835
55	462	7800
56	469	7759
57	475	7720
58	482	7687
59	488	7658
60	495	7623
61	501	7587
62	507	7554
63	514	7524
64	520	7492
65	527	7466
66	534	7437
67	540	7408
68	546	7378
69	553	7353
70	559	7326
71	566	7296
72	572	7269
73	578	7240
74	584	7211
75	591	7185
76	596	7155
77	603	7131
78	609	7106
79	616	7088
80	623	7074
81	630	7054
82	636	7035
83	643	7019
84	649	6996
85	656	6978
86	663	6965
87	670	6947
88	676	6927
89	683	6912
90	690	6898
91	697	6879
92	704	6868
93	710	6847
94	717	6831
95	723	6813
96	729	6793
97	736	6775
98	742	6758
99	748	6739
100	755	6722
101	761	6704
102	768	6690
103	774	6672
104	780	6655
105	786	6637
106	793	6618
107	798	6599
108	805	6582
109	811	6563
110	817	6548
111	824	6538
112	837	6575
113	844	6561
114	851	6551
115	858	6543
116	865	6528
117	871	6516
118	878	6502
119	885	6494
120	892	6485
121	899	6476
122	907	6467
123	913	6453
124	920	6441
125	927	6430
126	933	6419
127	940	6405
128	946	6391
129	953	6378
130	959	6368
131	966	6357
132	973	6347
133	980	6337
134	986	6322
135	993	6309
136	1000	6305
137	1007	6291
138	1014	6282
139	1021	6274
140	1028	6267
141	1036	6263
142	1045	6264
143	1052	6259
144	1060	6255
145	1067	6243
146	1075	6240
147	1083	6236
148	1091	6234
149	1099	6228
150	1107	6226
151	1114	6220
152	1123	6218
153	1132	6220
154	1149	6266
155	1157	6262
156	1165	6256
157	1173	6251
158	1180	6243
159	1186	6228
160	1193	6221
161	1200	6211
162	1209	6209
163	1217	6204
164	1224	6197
165	1231	6189
166	1238	6180
167	1245	6170
168	1252	6160
169	1259	6151
170	1270	6159
171	1277	6151
172	1284	6140
173	1292	6137
174	1299	6126
175	1306	6117
176	1313	6109
177	1320	6100
178	1327	6088
179	1334	6080
180	1341	6070
181	1348	6058
182	1355	6049
183	1361	6037
184	1368	6027
185	1374	6017
186	1382	6009
187	1389	6000
188	1403	6021
189	1422	6063
190	1440	6099
191	1452	6112
192	1462	6116
193	1468	6102
194	1477	6101
195	1487	6100
196	1492	6082
197	1500	6076
198	1508	6072
199	1512	6049
200	1517	6032
201	1524	6022
202	1530	6009
203	1537	5998
204	1544	5990
205	1551	5979
206	1558	5971
207	1566	5965
208	1573	5957
209	1581	5948
210	1588	5939
211	1593	5923
212	1598	5907
213	1603	5888
214	1612	5888
215	1621	5884
216	1625	5865
217	1633	5858
218	1638	5844
219	1646	5836
220	1652	5826
221	1659	5815
222	1666	5806
223	1671	5791
224	1676	5775
225	1684	5767
226	1687	5747
227	1694	5738
228	1702	5730
229	1708	5721
230	1715	5709
231	1721	5698
232	1728	5688
233	1734	5678
234	1746	5684
235	1752	5673
236	1758	5660
237	1765	5651
238	1770	5638
239	1777	5628
240	1783	5618
241	1788	5603
242	1795	5593
243	1801	5582
244	1808	5571
245	1814	5560
246	1821	5551
247	1827	5542
248	1834	5534
249	1842	5527
250	1849	5519
251	1855	5508
252	1862	5499
253	1869	5490
254	1873	5474
255	1880	5463
256	1886	5453
257	1892	5443
258	1899	5433
259	1905	5424
260	1911	5413
261	1917	5402
262	1924	5392
263	1930	5381
264	1936	5372
265	1943	5363
266	1950	5353
267	1956	5344
268	1963	5335
269	1969	5326
270	1976	5316
271	1982	5306
272	1988	5295
273	1995	5286
274	2002	5278
275	2008	5269
276	2015	5259
277	2021	5250
278	2028	5241
279	2034	5232
280	2041	5222
281	2048	5214
282	2055	5208
283	2063	5201
284	2070	5193
285	2078	5188
286	2085	5180
287	2092	5172
288	2099	5164
289	2106	5157
290	2112	5147
291	2118	5137
292	2126	5130
293	2132	5121
294	2139	5113
295	2146	5104
296	2152	5094
297	2158	5085
298	2165	5075
299	2171	5066
300	2177	5057
301	2184	5048
302	2191	5040
303	2197	5031
304	2204	5023
305	2211	5015
306	2218	5008
307	2225	4999
308	2231	4990
309	2238	4981
310	2244	4972
311	2250	4962
312	2256	4953
313	2263	4944
314	2269	4935
315	2275	4926
316	2282	4917
317	2288	4908
318	2295	4899
319	2301	4890
320	2307	4881
321	2313	4871
322	2319	4862
323	2326	4853
324	2332	4844
325	2339	4836
326	2345	4827
327	2351	4818
328	2358	4809
329	2364	4801
330	2371	4792
331	2377	4784
332	2384	4776
333	2392	4770
334	2398	4761
335	2410	4763
336	2424	4769
337	2442	4783
338	2452	4782
339	2464	4783
340	2473	4780
341	2482	4775
342	2489	4768
343	2496	4760
344	2503	4753
345	2510	4745
346	2517	4737
347	2524	4730
348	2532	4723
349	2539	4716
350	2545	4707
351	2552	4699
352	2559	4690
353	2565	4682
354	2572	4674
355	2579	4666
356	2585	4657
357	2592	4649
358	2599	4641
359	2606	4634
360	2613	4625
361	2619	4617
362	2626	4608
363	2632	4600
364	2639	4591
365	2645	4583
366	2652	4575
367	2659	4567
368	2666	4559
369	2674	4553
370	2682	4547
371	2688	4539
372	2695	4530
373	2702	4522
374	2709	4515
375	2715	4506
376	2721	4498
377	2728	4490
378	2735	4482
379	2741	4473
380	2748	4465
381	2755	4457
382	2762	4449
383	2768	4441
384	2776	4434
385	2783	4427
386	2790	4419
387	2796	4411
388	2803	4403
389	2811	4397
390	2818	4389
391	2824	4380
392	2831	4373
393	2839	4366
394	2845	4358
395	2859	4361
396	2868	4357
397	2877	4352
398	2887	4349
399	2896	4345
400	2905	4340
401	2915	4336
402	2923	4330
403	2934	4329
404	2944	4325
405	2955	4323
406	2963	4318
407	2972	4312
408	2982	4309
409	2991	4305
410	3001	4300
411	3010	4296
412	3018	4290
413	3026	4284
414	3034	4278
415	3043	4271
416	3053	4268
417	3062	4264
418	3070	4257
419	3077	4249
420	3083	4240
421	3090	4232
422	3097	4224
423	3104	4217
424	3111	4209
425	3118	4201
426	3125	4194
427	3132	4186
428	3139	4178
429	3146	4170
430	3153	4163
431	3160	4155
432	3167	4147
433	3178	4145
434	3186	4139
435	3195	4133
436	3203	4126
437	3211	4120
438	3219	4113
439	3226	4106
440	3234	4099
441	3241	4091
442	3250	4087
443	3258	4080
444	3266	4073
445	3273	4066
